Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOT1,SW_SPST,SW_SPST_TL3342,113.8125,-63.52,270.0,bottom
C1,100nF,C_0402_1005Metric,109.269077,-55.839077,0.0,bottom
C2,10uF,C_0603_1608Metric,83.279375,-30.611875,90.0,bottom
C3,100nF,C_0402_1005Metric,115.0325,-43.6025,180.0,bottom
C4,100nF,C_0402_1005Metric,106.2825,-43.8525,90.0,bottom
C5,100nF,C_0402_1005Metric,115.2825,-52.3525,270.0,bottom
C6,100nF,C_0402_1005Metric,114.7825,-53.8525,180.0,bottom
C7,100nF,C_0402_1005Metric,109.269077,-54.589077,180.0,bottom
C8,100nF,C_0402_1005Metric,75.519375,-31.456875,0.0,bottom
C9,1uF,C_0402_1005Metric,77.969375,-31.996875,0.0,bottom
C10,1uF,C_0402_1005Metric,83.029375,-33.361875,270.0,bottom
D1,D_Small,D_SOD-123,39.344375,-53.518125,90.0,bottom
D2,D_Small,D_SOD-123,58.394375,-53.518125,90.0,bottom
D3,D_Small,D_SOD-123,77.444375,-53.518125,90.0,bottom
D4,D_Small,D_SOD-123,96.494375,-53.518125,90.0,bottom
D5,D_Small,D_SOD-123,39.344375,-72.568125,90.0,bottom
D6,D_Small,D_SOD-123,58.394375,-72.568125,90.0,bottom
D7,D_Small,D_SOD-123,77.444375,-72.568125,90.0,bottom
D8,D_Small,D_SOD-123,96.494375,-72.568125,90.0,bottom
D9,D_Small,D_SOD-123,47.999375,-30.376875,0.0,bottom
F1,500mA,Fuse_1206_3216Metric,74.599375,-33.136875,180.0,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,68.58,-28.082,180.0,bottom
LED1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.63,-45.0,0.0,bottom
LED2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,49.53,-45.0,0.0,bottom
LED3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,49.53,-65.1525,0.0,bottom
LED4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,87.63,-65.1525,0.0,bottom
OL1,OLED,SSD1306-0.91-OLED-4pin-128x32,110.8225,-73.02125,-90.0,top
R1,5.1k,R_0402_1005Metric,64.879375,-32.506875,180.0,bottom
R2,5.1k,R_0402_1005Metric,69.285,-33.6,180.0,bottom
R3,5.1k,R_0402_1005Metric,112.0325,-58.1025,0.0,bottom
R4,5.1k,R_0402_1005Metric,109.5325,-58.1025,0.0,bottom
R5,5.1k,R_0402_1005Metric,27.438125,-30.845625,270.0,bottom
R6,5.1k,R_0402_1005Metric,27.438125,-35.21125,270.0,bottom
RE1,Encoder,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,36.93625,-32.903125,0.0,top
RST1,SW_SPST,SW_SPST_TL3342,107.8125,-63.52,90.0,bottom
U1,STM32F072CBT6,LQFP-48_7x7mm_P0.5mm,110.7825,-48.1025,90.0,bottom
U2,PRTR5V0U2X,SOT-143,66.285,-34.85,180.0,bottom
U3,XC6206PxxxMR-Regulator_Linear,SOT-23,80.629375,-31.066875,270.0,bottom
U5,SN74LV1T34DBV,SOT-23-5,105.021875,-40.776875,90.0,bottom
